,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Storey Unit,Main Location,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Property era
5686,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,False,False,False,False,0,Recently Built
28,6.0,6.0,7.0,1.0,1.0,1.0,2.0,G-9,False,False,True,False,0,Brand New (2025)
3245,6.0,20.0,5.0,2.0,2.0,1.0,3.0,F-11,False,False,False,False,0,Modern Era
3375,4.0,5.0,4.0,1.0,2.0,1.0,2.0,National Police Foundation O-9,False,False,False,False,1,Brand New (2025)
4804,5.0,42.0,4.0,2.0,2.0,1.0,2.0,F-6,False,False,False,False,0,Recently Built
999,4.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
4924,5.0,8.0,4.0,1.0,2.0,1.0,2.0,B-17,False,False,False,False,1,Brand New (2025)
622,5.0,10.0,5.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
4313,5.0,7.0,5.0,1.0,2.0,1.0,2.0,G-10,False,False,False,False,0,Brand New (2025)
676,6.0,40.0,6.0,1.0,1.0,1.0,1.0,F-7,False,False,False,False,0,Brand New (2025)
1546,5.0,8.0,5.0,1.0,2.0,1.0,2.0,D-12,False,False,False,False,0,Recently Built
121,6.0,10.0,5.0,1.0,2.0,1.0,2.0,Bahria Town,False,False,False,False,0,Recently Built
3362,2.0,5.0,2.0,1.0,1.0,1.0,1.0,H-13,False,False,False,False,1,Brand New (2025)
4437,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-14,False,False,False,False,0,Brand New (2025)
6456,7.0,10.0,5.0,1.0,2.0,1.0,2.0,Top City 1,False,False,False,False,0,Brand New (2025)
399,6.0,18.0,5.0,2.0,2.0,1.0,2.0,F-6,False,False,False,True,0,Brand New (2025)
2557,4.0,5.0,4.0,1.0,1.0,1.0,2.0,H-13,False,False,False,False,0,Brand New (2025)
3571,5.0,6.0,4.0,1.0,2.0,1.0,2.0,MPCHS - Multi Gardens,False,False,True,False,0,Brand New (2025)
2694,6.0,5.0,4.0,1.0,2.0,1.0,2.0,B-17,True,False,False,False,0,Recently Built
787,7.0,20.0,8.0,2.0,3.0,1.0,2.0,G-13,True,False,True,True,0,Modern Era
5326,6.0,8.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Brand New (2025)
2886,6.0,5.0,5.0,1.0,2.0,1.0,2.0,Naval Anchorage,True,False,True,False,1,Brand New (2025)
1245,5.0,5.0,4.0,1.0,1.0,1.0,2.0,Bahria Town,False,False,False,False,0,Brand New (2025)
778,5.0,5.0,4.0,1.0,2.0,1.0,2.0,DHA Phase 5,False,False,False,False,0,Brand New (2025)
2010,3.0,5.0,3.0,1.0,1.0,1.0,2.0,Bahria Enclave,True,False,False,False,0,Brand New (2025)
5545,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 5,False,False,False,False,1,Brand New (2025)
3744,6.0,7.0,6.0,1.0,1.0,1.0,2.0,G-15,False,False,False,False,0,Brand New (2025)
2712,7.0,10.0,5.0,1.0,2.0,1.0,2.0,B-17,True,False,False,False,0,Recently Built
5307,6.0,7.0,5.0,1.0,2.0,1.0,2.0,Faisal Town Phase 1,True,False,False,False,0,Brand New (2025)
5392,6.0,20.0,6.0,1.0,2.0,1.0,2.0,MPCHS - Multi Gardens,False,False,False,True,0,Brand New (2025)
4777,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,False,False,False,False,0,Brand New (2025)
5249,4.0,7.0,4.0,1.0,2.0,1.0,2.0,I-10,False,False,False,False,0,Established
6430,6.0,11.0,5.0,1.0,2.0,1.0,2.0,DHA Phase 2,False,False,False,False,0,Brand New (2025)
3034,7.0,50.0,5.0,2.0,2.0,1.0,2.0,F-8,False,False,True,False,0,Modern Era
4405,3.0,22.0,3.0,1.0,1.0,1.0,1.0,F-6,False,False,False,False,0,Recently Built
5993,6.0,20.0,5.0,1.0,2.0,1.0,2.0,F-8,False,False,False,False,0,Modern Era
2701,5.0,14.0,5.0,2.0,2.0,2.0,2.0,Zaraj Housing Scheme,False,False,False,False,0,Modern Era
6394,6.0,24.0,4.0,2.0,2.0,2.0,1.0,D-18,False,False,False,False,0,Recently Built
2090,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Recently Built
3642,7.0,10.0,7.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Brand New (2025)
2309,4.0,5.0,3.0,1.0,2.0,1.0,2.0,G-11,True,False,True,False,0,Recently Built
1366,6.0,12.0,8.0,1.0,3.0,1.0,3.0,G-10,False,False,False,False,0,Brand New (2025)
