,Price(Cr)
4496,30.0
6061,3.5
489,3.7
279,5.1
1950,3.6
5713,19.5
2249,55.0
4629,5.5
4130,2.8
6282,3.5
3424,2.06
3791,3.5
138,11.5
5877,13.9
230,4.2
144,12.0
4762,5.2
6469,4.5
4938,13.5
4447,5.8
4222,4.65
4544,8.0
5959,5.0
5711,28.0
5272,8.9
5822,12.5
1505,14.0
4740,0.66
4077,4.3
3154,4.35
2259,6.75
5796,8.5
3319,2.35
710,2.55
4808,5.5
5295,75.0
2611,4.3
5543,4.5
5762,2.9
4668,7.5
4572,3.2
600,1.4
1078,1.47
3992,7.25
3935,1.8
4351,24.5
133,70.0
1942,2.05
6228,6.0
4114,3.85
245,4.25
5316,0.65
5347,2.25
3052,11.8
4767,9.0
203,15.0
37,5.25
6395,2.5
5533,2.7
996,2.45
2047,9.0
2730,5.9
4598,6.5
2386,10.0
5035,2.4
1005,16.25
2537,1.25
670,2.5
3032,7.8
5687,11.5
3412,8.6
881,2.35
225,1.4
1039,2.75
5513,3.85
6058,5.25
5860,3.65
2415,2.25
851,4.65
2066,12.5
2526,2.95
4914,8.5
6365,8.7
2034,16.1
3106,4.0
3219,3.0
4857,6.25
4599,3.65
3917,5.0
5514,28.0
651,3.85
4422,12.0
3043,7.0
3742,1.48
1896,1.7
5818,7.5
1900,7.5
307,12.9
3830,4.5
764,22.0
3794,6.28
4086,15.0
1045,3.95
5974,11.5
3130,10.9
3947,26.0
4078,3.4
857,12.0
1898,4.6
2048,7.0
4308,5.25
4988,5.0
6372,3.53
1313,3.25
5765,8.75
1860,5.4
5410,11.9
6345,38.0
3405,2.3
5384,7.5
5593,5.0
5365,0.78
1010,13.75
5955,1.95
1061,5.5
2872,2.0
5690,13.9
4227,3.85
4360,6.45
754,5.65
111,1.65
6452,7.1
1905,3.85
5665,11.85
1326,13.8
6208,12.5
3247,18.0
1110,4.5
472,0.67
3047,18.0
2979,60.0
1368,10.0
1178,5.2
5606,6.5
1318,4.5
3700,6.5
240,8.35
220,14.0
2258,7.75
665,2.0
3739,4.9
4522,2.6
1908,8.75
1606,10.5
5660,2.9
1876,50.0
4687,1.4
5676,10.4
470,0.7
2660,10.0
3666,4.95
5979,9.5
2987,50.0
2753,1.95
5939,2.3
449,15.5
1200,4.6
1734,12.0
5218,17.95
5928,8.5
3173,5.4
3260,4.0
5234,34.0
2190,0.9
1115,2.3
1149,22.5
68,13.0
2849,4.3
5855,11.0
4847,3.2
2528,1.95
3202,10.5
1638,13.5
1424,33.0
5333,10.7
4843,5.3
2057,5.5
3889,1.2
1103,23.0
5973,3.25
