,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
3492,1.0,2.0,1.0,1.0,1.0,0.0,GT Road,GT Road,0,1.0,5.0,1.0,9.0,1.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
2643,1.0,2.0,1.0,1.0,1.0,1.0,Goldcrest Views,DHA Phase 2,0,1.0,1.0,6.0,1.0,0.0,Future,Ground/First Floor,Ground/Flat,High-Capacity
3129,2.0,5.0,2.0,1.0,1.0,1.0,Soan Garden,Soan Garden,0,1.0,1.0,1.0,6.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
6034,5.0,22.0,3.0,1.0,1.0,1.0,Luxus Mall and Residency,Gulberg Greens,1,1.0,7.0,1.0,8.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Single/None
3224,2.0,4.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,9.0,2.0,9.0,0.0,Future,Mid-Level,Mid Rise Core,Dual Setup
613,3.0,6.0,4.0,1.0,1.0,1.0,Soan Garden,Soan Garden,1,1.0,1.0,1.0,6.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
1175,1.0,7.0,1.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,4.0,4.0,12.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
6143,2.0,6.0,2.0,1.0,2.0,1.0,Faisal Town,Faisal Town Phase 1,0,2.0,1.0,1.0,5.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
2741,2.0,4.0,2.0,0.0,1.0,1.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
1470,3.0,5.0,3.0,3.0,1.0,2.0,Al-Ghurair Giga,DHA Phase 2,0,1.0,1.0,2.0,10.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
2222,1.0,2.0,1.0,1.0,1.0,1.0,Residency,DHA Phase 2,1,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
5614,2.0,3.0,2.0,1.0,2.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
6101,1.0,3.0,1.0,1.0,1.0,1.0,Residency,DHA Phase 2,0,1.0,3.0,1.0,7.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
6324,2.0,8.0,3.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,1.0,1.0,10.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
3894,2.0,3.0,2.0,1.0,1.0,1.0,Gulshan-e-Sehat 1,E-18,0,2.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
4188,2.0,8.0,2.0,1.0,1.0,1.0,Goldcrest Views,DHA Phase 2,0,1.0,15.0,5.0,40.0,0.0,Future,High-Rise,Skyscarper,High-Capacity
6100,1.0,2.0,1.0,2.0,2.0,1.0,MPCHS,MPCHS - Multi Gardens,0,4.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1871,2.0,4.0,2.0,0.0,1.0,0.0,MPCHS,MPCHS - Multi Gardens,0,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1563,4.0,11.0,3.0,1.0,1.0,1.0,The Galleria,Bahria Enclave,1,2.0,3.0,7.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,High-Capacity
1349,1.0,2.0,1.0,0.0,1.0,1.0,Grand Orchard,DHA Phase 1,0,3.0,3.0,1.0,7.0,0.0,Future,Lower Floors,Mid Rise Core,Single/None
